"","gene"
"439","Sept2"
"440","Rnf19b"
"441","Ndel1"
"442","Ccnb1ip1"
"443","Adamdec1"
"444","6330408A02Rik"
"445","Ipo7"
"446","Chmp1b"
"447","Mapk6"
"448","Tmprss4"
"449","Tardbp"
"450","Rps6ka6"
"451","Mov10l1"
"452","Tmprss13"
"453","Tex40"
"454","Myod1"
"455","Myog"
"456","Ppp1r12a"
"457","Ppp1r1c"
"458","Elane"
"459","Setdb2"
"460","Naip1"
"461","Phf13"
"462","Camk2d"
"463","Naip2"
"464","Naip5"
"465","Naip6"
"466","Klhl17"
"467","Ppp2r4"
"468","Ankrd53"
"469","Dynlt3"
"470","Bfar"
"471","Mastl"
"472","Prmt6"
"473","Neurog1"
"474","Rnf216"
"475","Ube2g1"
"476","Rnf144a"
"477","Nanos2"
"478","Kbtbd4"
"479","Med21"
"480","Mis12"
"481","Ndrg1"
"482","Fbxo5"
"483","Fbxo6"
"484","Mphosph8"
"485","Fbxo15"
"486","Nedd1"
"487","Rnf141"
"488","Nedd4"
"489","Dlc1"
"490","Rnaseh2b"
"491","Nedd9"
"492","Nek1"
"493","Nek2"
"494","Ranbp1"
"495","Neurl1a"
"496","Neurod1"
"497","Arl8b"
"498","Nfatc3"
"499","Nfatc1"
"500","Nfatc2"
"501","Fbxl8"
"502","Fbxl3"
"503","Tex11"
"504","Magi2"
"505","Tex14"
"506","Cdt1"
"507","Dmrt1"
"508","4930486L24Rik"
"509","F12"
"510","Smpd3"
"511","Cd74"
"512","Dclre1b"
"513","Tdrd1"
"514","Adamts7"
"515","Wrap73"
"516","Maea"
"517","Ube2t"
"518","Klk1b4"
"519","Capn15"
"520","Klk1b3"
"521","Nde1"
"522","Ngfr"
"523","Rrs1"
"524","Orc3"
"525","Kdm1a"
"526","Med12"
"527","Nup43"
"528","Huwe1"
"529","Med18"
"530","Psmd14"
"531","Dact1"
"532","Rnf10"
"533","Spast"
"534","Cinp"
"535","Setx"
"536","Arpp19"
"537","Smc6"
"538","Nkx2-5"
"539","Peli1"
"540","Nkx3-1"
"541","Keap1"
"542","Rbck1"
